Алтай,Южно-Чуйский хребет,Южно-Чуйский хр.,chuya_south
Алтай,Северо-Чуйский хребет,Северо-Чуйский хребет,chuya_north
Алтай,Катунский хребет,Катунский хребет,katun
Алтай,Монгольский Алтай,Монгольский Алтай,mongolian
Альпы,Пенинские Альпы,Альпы,alps-pennine
Кавказ,Западный Кавказ,Западный Кавказ,west_caucasus
Центральный Кавказ,Приэльбрусье,Приэльбрусье,caucasus/elbrus
Центральный Кавказ,Баксан и Чегем,Баксан - Чегем,caucasus/baksan
Центральный Кавказ,"Безенги, Дыхсу, Фытнаргин, Думала, Черек Балкарский, Сванетский хребет",Безенги-Сванетский,caucasus/bezengi
Центральный Кавказ,Дигория,Дигория,caucasus/digoria
Центральный Кавказ,Суган,Суган,caucasus/sugan
Центральный Кавказ,"Караугом, Цей",Караугом - Цей,caucasus/tsey
Центральный Кавказ,Тепли,Тепли,caucasus/teply
Центральный Кавказ,"Джимарай, Казбек",Джимарай-Казбек,caucasus/kazbek
Центральный Кавказ,Главный Кавказский хребет от Мамисонского перевала до Крестового,ГКХ от Мамисонского перевала до Крестового,caucasus/mamison
Кавказ,Восточный Кавказ,Восточный Кавказ,east_caucasus
Памиро-Алай,Фанские горы,Фаны,fanns
Памиро-Алай,Гиссарский хребет,Гиссарский хребет,gissar
Памиро-Алай,"Горный узел Такали, Туркестанский хребет",Такали,takali
Памиро-Алай,Матчинский горный узел,Матча,matcha
Памиро-Алай,Высокий Алай и Дугоба,Дугоба и Высокий Алай,high_alay
Памиро-Алай,Кичик-Алай и Восточный Алай,Кичик-Алай,east-n-kichik
Памир,Заалайский хребет,Заалайский,zaalay
Памир,Хребет Зулумарт,Зулумарт,zulumart
Памир,Хребет Академии Наук,Хребет Академии Наук,pamir_an
Памир,Хребет Петра I,Хребет Петра I,petr
Памир,Дарвазский хребет,Дарвазский хребет,darvaz
Памир,Ванчский хребет,Ванчский хребет,vanch
Памир,Язгулемский хребет,Язгулемский хребет,yazgulem
Памир,Хребет Северный Танымас,Хребет Северный Танымас,tanymas_north
Памир,Хребет Музкол,Музкол,muzkol
Памир,Рушанский хребет,Рушан,rushan
Памир,Северо-Аличурский хребет,Северо-Аличур,alichur
Памир,Ишкашимский хребет,Ишкашимский хребет,ishkashim
Памир,Шугнанский хребет,Шугнанский,shughnon
Памир,Шахдаринский хребет,Шахдаринский хребет,shakhdara
Памир,Южно-Аличурский хребет и массив Богчигир,Южно-Аличурский хребет и массив Богчигир,alichur_south
Памир,Китайский Памир,Китайский Памир,pamir_china
Каракорум,Каракорум и Ладакх,Каракорум и Ладакх,karakorum
Гималаи,Гималаи,Гималаи,himalayas
Турция,Аладаглар (Тавр),Тавр,aladaglar
Турция,Качкар,Качкар,kachkar
Африка,Высокий Атлас,Высокий Атлас,atlas
Тянь-Шань,Киргизский хребет и Карамойнок,Киргизский,north_tsh
Тянь-Шань,Заилийский Алатау и Кунгей-Алатау,Заилийский и Кунгей,zailiyskiy
Тянь-Шань,Центральный Тянь-Шань,Тянь-Шань,central_tsh
Тянь-Шань,Восточная часть Центрального Тянь-Шаня,Восточный Тянь-Шань,south_tsh
Тянь-Шань,Северная Джунгария,Северная Джунгария,gungar_north
Тянь-Шань,Центральная Джунгария,Центральная Джунгария,gungar_center
Тянь-Шань,Южная Джунгария,Южная Джунгария,gungar_south
